'sample interval','ABP'
'0.008 sec','mmHg'
150453,51.943
150454,52.099
150455,52.568
150456,53.507
150457,55.228
150458,57.418
150459,60.235
150460,62.738
150461,65.085
150462,66.962
150463,68.527
150464,70.091
150465,71.812
150466,73.690
150467,75.880
150468,78.070
150469,79.948
150470,81.825
150471,83.233
150472,84.485
150473,85.424
150474,86.206
150475,86.675
150476,86.832
150477,86.519
150478,85.737
150479,84.798
150480,83.233
150481,81.512
150482,79.322
150483,77.132
150484,75.098
150485,73.377
150486,72.125
150487,71.186
150488,70.248
150489,69.622
150490,68.683
150491,67.588
150492,66.493
150493,65.554
150494,64.615
150495,64.146
150496,63.677
150497,63.051
150498,62.581
150499,62.112
150500,61.486
150501,61.017
150502,60.704
150503,60.391
150504,60.078
150505,59.922
150506,59.609
150507,59.296
150508,59.139
150509,58.983
150510,58.670
150511,58.670
150512,58.514
150513,58.357
150514,58.357
150515,58.201
150516,58.044
150517,58.044
150518,57.888
150519,57.731
150520,57.575
150521,57.262
150522,57.106
150523,56.793
150524,56.480
150525,56.167
150526,55.697
150527,55.385
150528,54.915
150529,54.602
150530,54.289
150531,53.977
150532,53.664
150533,53.351
150534,53.038
150535,52.881
150536,52.568
150537,52.568
150538,52.725
150539,53.507
150540,54.915
150541,57.106
150542,60.078
150543,63.364
150544,66.493
150545,69.153
150546,71.030
150547,72.594
150548,74.003
150549,75.567
150550,77.757
150551,80.417
150552,83.390
150553,86.206
150554,89.022
150555,91.525
150556,93.559
150557,95.280
150558,96.688
150559,97.627
150560,98.409
150561,98.879
150562,98.879
150563,98.409
150564,97.627
150565,96.219
150566,94.498
150567,92.308
150568,90.117
150569,87.614
150570,85.111
150571,83.077
150572,81.199
150573,79.635
150574,78.540
150575,77.445
150576,76.349
150577,75.254
150578,74.003
150579,72.907
150580,71.969
150581,71.030
150582,70.404
150583,69.622
150584,68.996
150585,68.370
150586,67.744
150587,67.119
150588,66.649
150589,66.180
150590,65.711
150591,65.241
150592,64.928
150593,64.772
150594,64.459
150595,64.146
150596,63.677
150597,63.364
150598,63.207
150599,62.894
150600,62.738
150601,62.581
150602,62.425
150603,62.112
150604,61.799
150605,61.486
150606,61.017
150607,60.548
150608,59.922
150609,59.452
150610,58.983
150611,58.357
150612,58.044
150613,57.575
150614,57.262
150615,56.793
150616,56.480
150617,56.167
150618,55.854
150619,55.541
150620,55.228
150621,55.072
150622,55.228
150623,55.697
150624,56.793
150625,58.514
150626,60.860
150627,63.677
150628,66.336
150629,68.683
150630,70.248
150631,71.343
150632,72.438
150633,73.533
150634,74.941
150635,76.819
150636,78.853
150637,81.199
150638,83.390
150639,85.267
150640,86.832
150641,88.240
150642,89.179
150643,89.804
150644,90.274
150645,90.430
150646,90.117
150647,89.335
150648,88.240
150649,86.832
150650,85.111
150651,83.077
150652,80.887
150653,78.853
150654,76.975
150655,75.567
150656,74.472
150657,73.690
150658,72.907
150659,72.125
150660,71.343
150661,70.248
150662,69.309
150663,68.370
150664,67.744
150665,67.119
150666,66.649
150667,66.023
150668,65.554
150669,64.928
150670,64.302
150671,63.833
150672,63.364
150673,63.051
150674,62.738
150675,62.269
150676,61.956
150677,61.486
150678,61.173
150679,61.017
150680,60.704
150681,60.548
150682,60.235
150683,60.078
150684,59.922
150685,59.765
150686,59.609
150687,59.296
150688,58.983
150689,58.514
150690,58.201
150691,57.731
150692,57.262
150693,56.793
150694,56.323
150695,55.854
150696,55.385
150697,54.915
150698,54.602
150699,54.289
150700,53.820
150701,53.351
150702,53.038
150703,52.568
150704,52.256
150705,52.099
150706,52.412
150707,53.351
150708,55.228
150709,58.044
150710,61.330
150711,64.615
150712,67.588
150713,69.778
150714,71.343
150715,72.594
150716,74.003
150717,75.880
150718,78.383
150719,81.043
150720,84.016
150721,86.988
150722,89.491
150723,91.838
150724,93.872
150725,95.437
150726,96.532
150727,97.314
150728,97.784
150729,97.784
150730,97.158
150731,96.063
150732,94.498
150733,92.621
150734,90.274
150735,87.770
150736,85.111
150737,82.764
150738,80.574
150739,78.696
150740,77.288
150741,76.193
150742,75.098
150743,74.159
150744,73.064
150745,71.969
150746,70.717
150747,69.622
150748,68.527
150749,67.744
150750,66.962
150751,66.180
150752,65.554
150753,65.085
150754,64.615
150755,64.146
150756,63.677
150757,63.207
150758,62.738
150759,62.425
150760,61.956
150761,61.486
150762,61.173
150763,60.860
150764,60.548
150765,60.391
150766,60.235
150767,60.078
150768,59.765
150769,59.609
150770,59.296
150771,58.827
150772,58.357
150773,58.044
150774,57.731
150775,57.418
150776,57.106
150777,56.636
150778,56.167
150779,55.541
150780,55.072
150781,54.602
150782,54.133
150783,53.664
150784,53.194
150785,52.725
150786,52.412
150787,52.099
150788,51.943
150789,51.630
150790,51.630
150791,51.943
150792,52.256
150793,53.194
150794,54.759
150795,57.106
150796,59.922
150797,62.894
150798,65.398
150799,67.432
150800,68.840
150801,70.248
150802,71.969
150803,73.846
150804,76.036
150805,78.383
150806,80.574
150807,82.608
150808,84.329
150809,85.893
150810,86.988
150811,88.083
150812,88.709
150813,89.022
150814,89.022
150815,88.553
150816,87.614
150817,86.362
150818,84.798
150819,82.764
150820,80.417
150821,78.070
150822,75.880
150823,74.003
150824,72.751
150825,71.812
150826,71.030
150827,70.091
150828,68.996
150829,67.744
150830,66.493
150831,65.398
150832,64.459
150833,63.833
150834,63.207
150835,62.581
150836,61.799
150837,61.173
150838,60.548
150839,59.922
150840,59.609
150841,59.296
150842,58.983
150843,58.670
150844,58.357
150845,58.044
150846,57.731
150847,57.418
150848,57.106
150849,56.949
150850,56.793
150851,56.636
150852,56.636
150853,56.480
150854,56.323
150855,56.167
150856,55.854
150857,55.541
150858,55.385
150859,55.072
150860,54.915
150861,54.602
150862,54.446
150863,53.977
150864,53.664
150865,53.038
150866,52.725
150867,52.256
150868,51.786
150869,51.473
150870,51.160
150871,50.847
150872,50.691
150873,50.535
150874,50.535
150875,50.691
150876,50.847
150877,51.317
150878,52.412
150879,54.289
150880,56.949
150881,60.235
150882,63.677
150883,66.649
150884,68.996
150885,70.873
150886,72.751
150887,74.785
150888,77.132
150889,79.948
150890,82.764
150891,85.580
150892,88.240
150893,90.587
150894,92.464
150895,94.185
150896,95.437
150897,96.688
150898,97.471
150899,97.940
150900,97.940
150901,97.314
150902,96.375
150903,94.967
150904,93.090
150905,91.056
150906,88.553
150907,86.049
150908,83.390
150909,81.043
150910,79.322
150911,77.914
150912,76.975
150913,75.880
150914,74.785
150915,73.690
150916,72.438
150917,71.499
150918,70.561
150919,69.935
150920,69.309
150921,68.840
150922,68.214
150923,67.588
150924,66.962
150925,66.336
150926,65.867
150927,65.398
150928,64.928
150929,64.615
150930,64.302
150931,63.990
150932,63.833
150933,63.677
150934,63.364
150935,63.207
150936,63.051
150937,62.738
150938,62.581
150939,62.425
150940,62.269
150941,62.112
150942,62.112
150943,62.269
150944,62.738
150945,63.364
150946,64.146
150947,64.928
150948,65.398
150949,65.554
150950,65.554
150951,65.398
150952,65.241
150953,64.928
150954,64.928
150955,64.928
150956,64.928
150957,64.615
150958,64.302
150959,63.833
150960,63.051
150961,62.112
150962,61.330
150963,60.704
150964,60.235
150965,59.922
150966,59.609
150967,59.452
150968,59.139
150969,58.827
150970,58.357
150971,57.731
150972,57.262
150973,56.636
150974,56.167
150975,55.697
150976,55.228
150977,54.915
150978,54.446
150979,54.133
150980,53.977
150981,53.664
150982,53.507
150983,53.194
150984,53.038
150985,52.725
150986,52.412
150987,52.099
150988,51.786
150989,51.630
150990,51.317
150991,51.160
150992,51.004
150993,50.847
150994,50.691
150995,50.535
150996,50.378
150997,50.378
150998,50.222
150999,50.065
151000,49.752
151001,49.439
151002,49.283
151003,49.126
151004,48.814
151005,48.657
151006,48.501
151007,48.188
151008,48.031
151009,47.875
151010,47.562
151011,47.405
151012,47.249
151013,47.093
151014,46.936
151015,46.623
151016,46.467
151017,46.310
151018,46.154
151019,45.997
151020,45.841
151021,45.841
151022,45.684
151023,45.684
151024,45.684
151025,45.684
151026,45.528
151027,45.372
151028,45.372
151029,45.215
151030,44.902
151031,44.746
151032,44.433
151033,44.120
151034,43.963
151035,43.651
151036,43.494
151037,43.338
151038,43.181
151039,43.181
151040,43.025
151041,42.868
151042,42.868
151043,43.025
151044,43.807
151045,45.684
151046,48.814
151047,53.507
151048,59.139
151049,64.459
151050,68.996
151051,71.969
151052,73.846
151053,75.411
151054,77.288
151055,80.104
151056,84.172
151057,89.335
151058,95.124
151059,100.600
151060,105.293
151061,109.048
151062,112.021
151063,114.524
151064,116.714
151065,118.435
151066,119.531
151067,120.156
151068,120.000
151069,119.374
151070,118.122
151071,116.558
151072,114.524
151073,112.177
151074,109.205
151075,105.763
151076,102.008
151077,97.940
151078,94.342
151079,91.369
151080,89.179
151081,87.614
151082,86.206
151083,84.954
151084,83.703
151085,82.295
151086,80.887
151087,79.478
151088,78.227
151089,77.132
151090,76.349
151091,75.567
151092,74.941
151093,74.315
151094,73.690
151095,73.064
151096,72.438
151097,71.812
151098,71.186
151099,70.717
151100,70.091
151101,69.622
151102,69.309
151103,68.840
151104,68.527
151105,68.370
151106,68.057
151107,67.744
151108,67.432
